Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Pakistan,CAIT,Total including LUCF,CO2,MtCO₂e,215.37,204.7,187.57,169.04,159.12,150.55,149.2,147.09,147.68,152.2,149.23,153.32,139.55,128.74,125.72,112.73,109.37,106.88,106.42,106.8,98.21,97.36,93.87,90.78,84.29,81.79,74.97,68.35,69.1
Argentina,CAIT,Total including LUCF,CO2,MtCO₂e,207.11,209.83,213.99,251.66,245.48,249.58,244.1,242.84,262.97,252.27,262.98,258.46,250.19,241.14,236.68,223.19,212.28,219.67,176.25,178.51,177.49,171.64,170.88,158.13,158.12,155.35,151.67,149.64,144.16
United Arab Emirates,CAIT,Total including LUCF,CO2,MtCO₂e,200.3,208.25,199.46,194.04,183.84,184.1,175.73,166.32,162.82,157.18,156.2,131.69,121.46,116.28,109.98,103.53,98.12,96.26,84.54,86.0,83.85,81.45,75.81,72.64,68.29,62.15,59.64,61.5,55.4
Iraq,CAIT,Total including LUCF,CO2,MtCO₂e,188.64,174.79,172.84,162.27,168.92,162.63,151.94,131.12,120.18,107.46,85.99,77.42,83.84,88.17,75.24,72.03,79.36,84.25,74.44,64.47,81.32,115.65,98.08,95.97,99.59,88.63,67.26,46.63,64.71
Venezuela,CAIT,Total including LUCF,CO2,MtCO₂e,181.29,191.71,204.88,282.4,296.87,296.03,292.24,278.48,258.53,251.06,250.61,239.91,237.03,244.71,229.89,225.21,232.75,224.46,279.51,272.6,277.56,280.97,275.67,261.98,255.37,255.18,249.79,247.44,248.17
Nigeria,CAIT,Total including LUCF,CO2,MtCO₂e,176.66,158.91,154.41,154.14,162.19,156.71,146.67,148.08,136.73,120.23,137.52,136.12,138.2,144.43,134.63,134.68,132.1,131.14,122.06,120.65,122.63,129.54,133.18,127.53,126.52,130.4,132.4,121.56,113.84
Ukraine,CAIT,Total including LUCF,CO2,MtCO₂e,173.18,162.66,189.1,176.6,223.34,254.33,263.01,269.24,244.87,227.7,276.79,287.66,279.54,270.97,282.73,305.94,279.72,276.38,248.7,257.09,260.74,279.68,297.56,350.76,367.14,450.79,526.12,603.4,640.09
Colombia,CAIT,Total including LUCF,CO2,MtCO₂e,162.46,159.03,166.72,137.53,136.32,134.29,126.78,126.41,145.22,143.48,140.52,139.7,138.22,138.41,136.72,136.47,136.86,138.97,150.83,148.44,156.64,156.12,151.38,151.59,148.92,148.27,145.7,143.07,141.35
Netherlands,CAIT,Total including LUCF,CO2,MtCO₂e,152.52,157.27,159.64,159.47,151.26,158.49,158.89,160.24,172.28,161.66,166.5,165.74,164.82,169.08,173.27,171.59,168.66,168.59,163.75,163.09,168.37,167.94,175.38,165.81,158.9,159.74,154.74,155.95,149.83
Algeria,CAIT,Total including LUCF,CO2,MtCO₂e,151.87,145.3,143.55,145.35,138.18,129.29,126.01,117.51,110.74,110.37,101.59,98.12,91.35,86.58,82.49,81.43,78.01,72.36,79.17,78.12,75.11,73.41,71.99,73.63,72.12,74.05,66.73,67.51,68.47
Philippines,CAIT,Total including LUCF,CO2,MtCO₂e,144.7,139.05,127.38,116.1,106.84,100.23,90.49,86.9,85.95,79.91,79.11,76.94,73.19,80.49,78.71,77.15,75.33,74.05,75.59,74.84,77.33,77.73,69.9,64.21,53.9,49.87,46.14,42.77,43.25
Peru,CAIT,Total including LUCF,CO2,MtCO₂e,144.07,143.78,146.32,142.68,141.68,138.39,137.24,137.45,110.45,106.56,103.44,98.99,95.96,96.24,96.19,91.76,92.36,91.18,88.18,88.59,86.4,87.7,87.49,85.15,82.11,81.29,80.43,79.5,80.38
Myanmar,CAIT,Total including LUCF,CO2,MtCO₂e,136.92,133.48,125.78,128.25,124.63,121.56,118.38,114.79,134.15,132.1,130.98,135.08,135.2,134.24,136.38,134.72,131.21,131.84,150.72,150.15,149.01,147.66,148.08,148.94,147.62,146.79,146.26,146.1,146.17
Uzbekistan,CAIT,Total including LUCF,CO2,MtCO₂e,108.72,108.02,103.98,98.41,102.29,110.01,108.17,121.91,110.95,102.75,112.59,106.74,110.33,103.2,109.82,106.71,113.78,111.13,120.9,114.15,112.93,97.66,96.3,95.33,106.38,112.94,112.28,117.79,116.97
Bangladesh,CAIT,Total including LUCF,CO2,MtCO₂e,104.5,100.46,95.49,93.58,85.7,82.55,80.01,76.45,73.09,67.24,64.06,60.48,58.36,55.17,52.99,51.21,50.03,48.44,43.87,42.46,41.77,41.6,39.47,39.2,36.15,35.18,34.43,33.44,34.13
Zimbabwe,CAIT,Total including LUCF,CO2,MtCO₂e,99.43,97.4,98.15,23.72,23.47,23.68,23.43,22.81,20.75,18.69,18.54,20.7,20.77,21.45,20.71,21.12,23.43,24.84,24.1,26.22,24.48,24.23,25.26,25.89,26.36,27.48,28.87,28.7,26.94
Czech Republic,CAIT,Total including LUCF,CO2,MtCO₂e,96.66,97.6,97.04,97.35,96.12,99.08,103.54,107.35,106.98,104.22,111.36,116.68,113.65,113.05,116.49,115.82,111.58,115.78,113.72,102.5,109.48,115.35,117.3,115.74,115.27,121.54,124.7,127.46,140.76
Belgium,CAIT,Total including LUCF,CO2,MtCO₂e,93.63,92.93,94.48,92.84,87.8,94.25,92.6,93.21,103.46,96.65,103.92,101.57,105.63,107.6,111.01,112.49,107.84,115.34,113.27,111.59,115.49,112.72,115.53,110.65,110.99,106.19,108.42,110.05,105.4
Qatar,CAIT,Total including LUCF,CO2,MtCO₂e,90.17,87.68,85.28,83.31,80.4,74.6,73.29,65.77,62.27,57.17,55.23,51.05,44.98,41.28,31.91,28.91,27.6,23.49,21.73,22.95,20.81,19.45,17.91,17.02,16.25,15.49,14.68,14.61,12.54
Bolivia,CAIT,Total including LUCF,CO2,MtCO₂e,90.09,89.64,88.99,80.19,79.95,78.34,77.02,76.22,71.94,70.77,69.91,68.93,68.05,66.97,66.32,66.0,65.12,64.78,84.31,84.28,84.92,84.59,84.44,84.64,85.35,84.14,83.13,82.08,81.99
Kuwait,CAIT,Total including LUCF,CO2,MtCO₂e,89.45,89.71,89.87,88.03,83.57,85.25,83.58,81.15,78.22,75.01,72.89,68.71,69.65,67.23,59.47,55.61,53.37,50.8,47.15,43.71,39.87,34.04,32.93,33.78,33.73,29.24,22.99,35.73,29.23
Tanzania,CAIT,Total including LUCF,CO2,MtCO₂e,75.68,75.47,75.03,63.65,62.68,62.76,61.83,60.13,58.88,57.89,58.07,57.92,58.1,57.72,57.14,55.84,55.66,55.24,55.08,54.67,54.83,55.02,55.19,54.86,54.04,54.05,53.99,53.99,54.02
Oman,CAIT,Total including LUCF,CO2,MtCO₂e,73.39,69.92,69.56,68.3,64.47,60.99,58.65,52.38,46.47,42.73,40.08,41.03,37.52,27.87,27.52,27.67,26.94,25.28,22.54,20.43,17.28,17.24,15.82,15.6,13.81,14.08,14.9,16.1,11.89
Turkmenistan,CAIT,Total including LUCF,CO2,MtCO₂e,71.73,71.96,72.02,72.08,69.49,67.78,66.3,63.41,57.19,50.21,56.68,56.03,49.57,48.19,46.65,44.25,39.75,37.92,36.85,35.77,30.59,29.94,29.69,33.43,32.87,26.63,28.1,37.79,44.65
Greece,CAIT,Total including LUCF,CO2,MtCO₂e,66.68,68.19,68.25,69.41,70.95,73.89,81.49,85.95,86.49,93.65,99.32,103.23,99.62,100.86,98.76,99.14,95.52,95.53,93.53,86.47,86.2,82.84,81.83,81.91,78.81,77.17,77.25,74.89,74.69
Ecuador,CAIT,Total including LUCF,CO2,MtCO₂e,65.68,63.91,65.16,57.76,58.25,56.47,53.68,52.55,63.22,61.0,58.84,58.14,57.68,55.72,53.98,52.45,52.08,51.91,57.94,57.29,59.95,60.11,59.06,56.35,53.6,52.71,53.78,52.73,52.17
Morocco,CAIT,Total including LUCF,CO2,MtCO₂e,64.74,63.99,61.14,61.71,59.72,58.28,58.71,56.35,49.14,46.02,45.66,43.21,41.66,39.96,37.64,33.69,33.75,32.4,28.39,27.7,26.15,25.43,23.99,24.3,23.24,21.08,20.37,18.56,16.83
Angola,CAIT,Total including LUCF,CO2,MtCO₂e,62.93,66.44,71.01,70.76,70.23,68.42,65.85,65.07,64.14,62.75,60.69,59.1,55.95,53.82,54.9,53.63,49.24,48.53,22.67,22.94,21.65,22.0,21.68,21.05,16.96,17.17,16.64,16.8,16.6
Israel,CAIT,Total including LUCF,CO2,MtCO₂e,62.05,66.12,65.34,66.09,64.67,66.95,76.01,69.77,70.51,65.71,66.7,66.58,64.32,60.98,63.15,62.88,61.07,57.94,56.97,52.96,51.48,50.94,48.71,46.75,43.34,40.48,36.83,34.5,33.78
Mozambique,CAIT,Total including LUCF,CO2,MtCO₂e,59.47,58.85,58.61,51.22,50.05,49.04,48.66,48.78,51.64,51.44,51.17,51.16,50.79,50.64,50.84,50.83,50.5,50.34,49.78,49.59,49.6,49.64,49.52,49.53,49.45,49.65,49.45,49.29,49.47
Libya,CAIT,Total including LUCF,CO2,MtCO₂e,58.94,56.81,51.18,53.84,59.7,54.99,52.3,38.05,57.23,53.81,51.47,46.29,49.37,49.13,45.49,44.28,43.6,41.43,39.87,38.06,39.9,38.94,39.4,37.49,35.91,30.84,30.3,33.32,36.09
Austria,CAIT,Total including LUCF,CO2,MtCO₂e,56.06,58.71,56.27,56.08,54.92,58.68,58.04,61.2,63.79,58.26,64.56,65.08,67.93,70.07,69.63,68.3,63.2,61.75,50.06,49.58,51.2,50.75,51.43,47.71,44.81,44.33,44.19,48.95,44.8
Paraguay,CAIT,Total including LUCF,CO2,MtCO₂e,54.4,54.0,53.1,74.5,73.8,73.47,73.35,73.39,61.35,60.68,60.48,60.25,60.13,60.0,60.28,60.24,60.08,59.92,45.56,46.3,46.3,46.14,45.75,45.81,45.37,44.85,44.51,44.05,44.1
Romania,CAIT,Total including LUCF,CO2,MtCO₂e,52.0,51.22,48.26,-212.22,-213.71,-213.11,-203.39,-201.17,74.81,77.83,92.52,93.74,96.25,93.11,94.04,96.93,90.9,91.42,89.58,86.2,100.09,114.12,124.65,121.43,115.79,118.34,126.69,143.08,173.34
Finland,CAIT,Total including LUCF,CO2,MtCO₂e,51.3,49.7,52.33,-11.81,-8.47,-4.46,-5.25,0.44,47.7,39.31,41.74,50.15,52.06,40.47,52.66,56.53,48.21,45.79,24.44,25.64,26.22,29.53,31.47,24.98,28.8,22.34,21.15,24.01,23.44
Portugal,CAIT,Total including LUCF,CO2,MtCO₂e,50.07,53.63,49.06,49.04,45.12,45.75,47.42,49.06,51.53,56.89,57.43,59.39,61.04,66.07,62.72,61.11,66.19,61.97,63.11,63.66,57.06,52.39,50.2,52.16,48.77,47.26,48.24,44.23,42.53
Botswana,CAIT,Total including LUCF,CO2,MtCO₂e,49.54,49.2,48.45,48.54,48.46,46.89,46.46,45.33,44.71,45.43,45.75,45.67,45.44,45.63,45.33,45.24,45.34,45.17,45.33,45.13,44.91,44.28,44.13,44.41,44.3,44.47,44.52,43.95,44.02
Papua New Guinea,CAIT,Total including LUCF,CO2,MtCO₂e,48.46,48.52,48.47,46.54,45.98,45.44,45.2,45.47,38.24,38.26,38.23,39.11,39.01,39.43,39.71,38.72,38.4,37.87,37.59,36.0,34.75,33.89,33.56,33.49,31.23,31.39,31.36,31.35,31.35
Hungary,CAIT,Total including LUCF,CO2,MtCO₂e,48.28,48.45,46.39,44.72,41.96,42.1,44.77,48.25,50.15,50.11,55.29,56.13,57.73,58.23,58.66,60.56,58.0,58.7,56.26,59.53,58.98,58.62,60.1,59.07,59.41,60.01,59.63,66.18,69.04
Ethiopia,CAIT,Total including LUCF,CO2,MtCO₂e,48.0,47.23,46.75,44.46,43.91,41.97,40.2,39.29,37.72,38.16,38.04,37.2,36.53,36.18,36.42,36.09,35.65,35.42,29.97,29.6,29.59,29.38,29.2,28.9,28.56,28.24,27.81,28.63,28.6
Singapore,CAIT,Total including LUCF,CO2,MtCO₂e,47.39,47.46,46.19,45.45,44.41,43.87,43.64,44.72,42.36,38.78,38.37,38.23,37.12,36.85,39.56,38.16,41.32,42.22,42.53,38.42,37.94,39.45,39.81,38.83,39.19,37.32,32.13,31.24,29.67
Solomon Islands,CAIT,Total including LUCF,CO2,MtCO₂e,45.78,45.76,45.77,-17.52,-17.48,-17.44,-17.47,-17.47,2.03,2.02,2.01,2.03,2.03,2.03,2.0,1.96,1.95,1.94,4.15,4.14,4.13,4.13,4.12,4.11,4.1,4.09,4.08,4.07,4.07
Serbia,CAIT,Total including LUCF,CO2,MtCO₂e,45.45,46.81,46.16,42.32,35.88,43.3,42.61,47.97,11.07,11.48,15.76,16.99,18.17,15.92,21.96,17.51,14.12,10.58,41.07,37.87,54.38,54.36,49.78,42.42,36.73,40.3,45.99,49.29,58.99
Cameroon,CAIT,Total including LUCF,CO2,MtCO₂e,42.38,42.1,42.33,41.72,41.46,41.08,40.77,41.65,50.41,50.18,49.57,49.47,48.29,47.95,47.88,47.42,47.55,47.65,59.65,59.42,59.63,59.45,59.2,59.97,60.14,59.52,55.38,55.5,55.76
Sudan,CAIT,Total including LUCF,CO2,MtCO₂e,41.2,41.34,41.49,39.32,36.85,36.01,36.73,36.5,37.68,36.79,36.31,35.22,34.23,31.86,30.31,29.54,29.35,27.92,27.03,26.66,26.1,26.55,25.61,25.82,25.8,24.33,25.67,25.94,26.5
Zambia,CAIT,Total including LUCF,CO2,MtCO₂e,40.47,39.82,38.41,37.91,37.64,37.09,36.89,35.92,20.09,19.9,19.64,19.42,19.62,19.75,19.57,19.54,19.38,19.25,19.21,19.1,19.46,19.56,19.04,19.42,19.43,19.8,20.13,20.16,20.02
Cambodia,CAIT,Total including LUCF,CO2,MtCO₂e,40.16,40.38,38.9,73.51,71.55,70.5,70.35,70.11,8.5,8.3,7.52,7.18,6.52,6.21,5.95,5.95,5.78,5.73,6.13,6.08,6.11,5.87,5.78,5.68,5.64,5.55,5.52,5.47,5.43
Belarus,CAIT,Total including LUCF,CO2,MtCO₂e,37.8,34.8,33.85,38.47,43.05,43.53,43.38,41.94,36.42,32.15,35.27,32.48,33.97,31.68,30.99,27.87,27.13,27.14,20.46,22.42,24.49,26.24,25.62,24.64,31.66,43.24,54.78,63.29,66.9
Côte d'Ivoire,CAIT,Total including LUCF,CO2,MtCO₂e,36.55,37.02,35.96,36.19,35.59,35.08,34.5,32.6,32.83,32.52,32.95,32.14,32.21,32.4,32.01,31.74,32.96,32.84,66.99,67.32,65.46,65.37,64.42,63.77,63.39,63.25,63.07,63.09,63.0
Switzerland,CAIT,Total including LUCF,CO2,MtCO₂e,35.23,36.38,37.37,36.82,37.51,41.27,40.26,38.98,42.85,41.31,42.6,41.18,43.12,43.49,42.93,42.49,41.23,42.83,42.24,43.06,42.78,41.28,42.54,41.98,41.13,41.99,44.25,44.21,41.87
Ireland,CAIT,Total including LUCF,CO2,MtCO₂e,34.32,34.74,35.91,34.75,33.3,33.47,34.85,34.11,38.5,38.89,44.22,44.89,45.68,44.65,42.73,42.09,41.92,42.79,40.15,37.81,36.2,33.68,32.51,31.05,30.45,29.26,29.13,29.05,28.53
Denmark,CAIT,Total including LUCF,CO2,MtCO₂e,34.23,34.19,36.23,31.65,33.81,38.03,36.25,41.14,48.16,47.87,50.1,53.38,58.19,50.25,53.87,59.33,53.96,53.84,53.04,57.29,60.08,64.06,73.65,60.26,63.53,59.63,57.35,63.07,52.43
Slovakia,CAIT,Total including LUCF,CO2,MtCO₂e,31.93,32.51,30.43,23.15,22.84,25.34,24.76,26.53,27.05,25.44,28.64,28.82,29.48,30.12,29.04,29.94,29.68,30.18,28.64,31.22,31.97,32.84,32.74,32.94,32.27,34.89,36.66,38.5,45.38
Bahrain,CAIT,Total including LUCF,CO2,MtCO₂e,30.75,30.38,30.2,30.59,30.22,28.76,26.57,26.03,25.98,24.73,24.77,23.01,22.49,20.7,17.93,17.95,17.22,16.39,15.88,15.45,15.51,14.41,14.17,13.54,13.37,13.07,12.27,10.34,10.74
Azerbaijan,CAIT,Total including LUCF,CO2,MtCO₂e,30.1,30.05,30.74,29.32,29.78,28.54,27.91,25.71,22.33,23.33,27.77,25.7,32.36,34.84,32.28,32.52,36.32,36.91,38.43,37.2,37.81,37.89,38.8,44.19,46.0,51.94,43.05,65.45,55.94
Chile,CAIT,Total including LUCF,CO2,MtCO₂e,28.75,29.17,28.29,0.62,-4.97,1.59,-2.86,-4.88,33.63,29.28,32.16,28.66,20.96,19.63,18.64,13.83,12.6,11.78,32.46,36.41,34.04,33.19,26.69,20.89,18.01,14.94,14.12,12.19,13.05
Burkina Faso,CAIT,Total including LUCF,CO2,MtCO₂e,28.37,28.17,27.6,9.27,8.89,8.84,8.58,8.07,18.54,18.38,18.36,18.13,17.85,17.6,17.58,17.55,17.48,17.47,13.31,13.19,13.14,13.08,12.98,12.9,12.88,12.88,12.87,12.86,12.85
Syria,CAIT,Total including LUCF,CO2,MtCO₂e,27.92,29.1,26.46,25.37,26.4,29.85,45.32,55.25,59.02,58.48,63.39,61.44,58.15,54.92,44.01,41.61,41.32,40.62,38.86,38.61,39.38,36.48,36.13,33.02,31.21,30.09,30.73,31.44,28.89
Lebanon,CAIT,Total including LUCF,CO2,MtCO₂e,27.63,29.2,27.73,26.97,24.86,23.17,23.41,21.1,20.89,21.92,18.67,15.06,16.24,17.29,17.89,17.42,16.84,16.9,15.69,17.05,16.27,16.14,14.14,13.32,11.29,10.34,7.03,7.05,5.63
Laos,CAIT,Total including LUCF,CO2,MtCO₂e,27.46,27.18,24.03,17.32,13.09,12.58,11.94,11.71,15.05,14.71,14.22,13.91,13.82,13.43,13.39,13.33,13.28,13.17,11.41,11.35,11.32,11.29,11.25,11.17,11.14,11.11,11.1,11.05,11.02
Tunisia,CAIT,Total including LUCF,CO2,MtCO₂e,26.19,26.11,25.2,33.55,32.71,30.65,30.56,29.6,26.13,23.79,23.48,23.21,22.76,21.84,21.52,20.56,20.43,20.34,20.01,18.92,18.0,17.26,16.68,16.12,15.73,15.6,14.26,13.5,12.83
Nicaragua,CAIT,Total including LUCF,CO2,MtCO₂e,24.72,24.91,24.89,16.25,15.74,15.48,15.67,15.76,28.15,28.03,28.1,28.3,28.15,27.94,28.14,28.17,27.7,27.56,23.3,23.08,23.05,22.56,22.35,22.19,22.06,21.74,21.77,21.46,21.47
Jordan,CAIT,Total including LUCF,CO2,MtCO₂e,24.7,26.1,24.86,25.36,25.59,23.8,24.12,20.76,20.2,20.66,20.01,21.09,20.17,19.87,18.58,17.31,16.87,16.25,16.27,14.63,14.61,14.37,13.87,13.6,12.99,12.2,11.92,9.78,9.93
